Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904740049,HAMILTON,CARMEL,6/11/25,2025,Pedalcyclist,BRIAR DR & LAKESHORE DR E,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.94048322,-86.10530177,ABRASION,Other
904740309,HENDRICKS,AVON,6/11/25,2025,Pedalcyclist,ROCKVILLE RD & RONALD REAGAN PKWY,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.76379228,-86.33685779,NONE VISIBLE,Other
904742556,HAMILTON,CARMEL,6/10/25,2025,Pedalcyclist,CAREY RD & HAWTHORNE DR W,FOLLOWING TOO CLOSELY,REAR END,REFUSED,DAYLIGHT,CLEAR,DRY,39.99231645,-86.10848968,COMPLAINT OF PAIN,Other
904742677,HANCOCK,GREENFIELD,6/16/25,2025,Pedestrian,745 N SWOPE ST,UNSAFE BACKING,BACKING CRASH,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.79297483,-85.76462097,CONTUSION/BRUISE,Other
904742791,HAMILTON,,6/16/25,2025,Pedalcyclist,276 ST & 281 ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,40.19021504,-86.05382274,UNCONSCIOUSNESS,SSI
904742874,HENDRICKS,,6/14/25,2025,Pedalcyclist,CR 950 E & WOODLAND CT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.81139823,-86.35554258,ABRASION,Other
904746517,HENDRICKS,,6/15/25,2025,Pedalcyclist, & EAGLE CROSSING BLVD ,PEDESTRIAN ACTION,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.85172947,-86.34195784,UNCONSCIOUSNESS,SSI
904748642,JOHNSON,,6/25/25,2025,Pedestrian,BRAXTON ST ; DOLLAR GENERAL MA,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.42091283,-86.15759883,UNCONSCIOUSNESS,SSI
904749517,HAMILTON,NOBLESVILLE,6/26/25,2025,Pedalcyclist,LITTLE CHICAGO RD & PRIVATE DRIVE,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.0443624,-86.0707425,COMPLAINT OF PAIN,Other
904749967,HAMILTON,NOBLESVILLE,6/26/25,2025,Pedalcyclist,146 ST & CHERRY TREE RD,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.00040928,-86.05814837,FRACTURE/DISLOCATION,SSI
904750254,HAMILTON,FISHERS,6/27/25,2025,Pedestrian,COMMERCIAL DR & E 116TH ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.9569417,-86.01117299,ABRASION,Other
